transaction_id,user_id,amount,timestamp,merchant,category,is_fraud
dac40bdb-3c0f-412c-96b9-a2e36a9f1c9a,17eb440b-75c6-47ee-917d-28952d302424,42059.32,2026-02-23T21:56:04,Ola,travel,False
38a29e58-0e35-4a0d-9c97-98bb714455b6,bef1b831-f5b3-4609-8c9a-9cbeb1ea6187,50098.79,2026-06-28T19:26:16,Myntra,shopping,False
958a4fda-9847-4b14-8476-0e00d5338814,293cdd05-e5bd-487f-8445-82f27e022f05,76994.15,2026-05-30T05:34:24,Netflix,entertainment,False
a993a204-c8b7-482c-a25c-a9e1b4c4a7f6,c5767e86-8a7e-460e-bfed-705fca617547,77913.02,2026-03-19T06:05:34,BigBasket,groceries,False
4138f385-15cc-4c11-a75b-dbe4fa575380,07425d6d-293c-4198-8b41-f158ae18db1e,80368.21,2026-01-31T02:00:09,Coursera,education,False
1102f2a3-12c5-43f7-bd2c-ce2acf341880,a55ba7a2-12ef-4b38-ab9e-0fa9fa61182b,80319.0,2026-07-01T06:48:49,Myntra,shopping,False
39033726-8f1b-4c60-9b5b-72ab3a005d20,5ca2a61b-13ae-469b-8d3e-36b0dd039fbb,45915.51,2026-02-04T17:18:37,McDonald's,dining,False
b3a5e18a-82b9-4745-b129-8b38a8f4bbe4,360127eb-0066-4c6c-9147-329f39fa4df6,63789.44,2026-03-24T13:05:28,Spotify,entertainment,False
a7f67d76-9fcf-4319-9449-2b2caa08b203,898a0060-3fe1-4753-93be-70f88ab2c05a,13799.25,2026-04-22T20:36:29,DMart,groceries,False
ceaf2258-8941-4e03-8c43-8c5023c62913,6b2676e0-62ad-4fe2-8fe5-29be3d6743fb,25874.89,2026-02-16T02:55:22,Amazon Pantry,groceries,False
03e60f54-3a02-44c1-96b6-c3217580191f,36de01c9-1ca1-4622-9475-20b7372c8922,39165.75,2026-06-02T23:19:45,BYJU'S,education,False
890d855a-2190-4017-9b4d-065c9432ec7d,3f58ae62-6d80-4c3a-a47c-c190f14b7801,3406.22,2026-03-24T17:02:44,McDonald's,dining,False
